title,genres,Plot
Satidevi,,"Kul Bahadur, a poor villager battling alcoholism, has four daughters. Though he wishes for a son, his eldest daughter, Sati Devi, strives to make him happy. However, their lives are marred by heart-wrenching events."
Password,,
Aago,Drama,"An editor-in-chief and his nephew expose the corruption of political leaders, facing grave danger when the reporter falls in love with the daughter of a corrupt politician."
Dimag Kharab,"Drama, Comedy","When bureaucratic barriers obstruct Indra Sharma's desire to work overseas, his dreams of a stable family life take a turbulent turn."
Nai Nabhannu La 2,,The emotional journey of a cancer-stricken young boy who learns to sing and play a musical instrument to impress a young girl.
Xira,"Action, Crime","Martial arts, Xira embarks on a relentless path of vengeance and justice after a notorious mob kingpin murders her police officer husband."
Kagbeni,"Horror, Drama","Kagbeni transplants the famous horror story, The Monkey's Paw, to the mountains of Nepal. Krishna has returned to his village, Kagben from Malaysia, and is reminiscing with his old friend Ramesh. They come upon an old hermit, who presents them with a cursed monkey's paw that has the power both to grant wishes, and twist their meaning to cause tragedies."
Six Strands,"Drama, Mystery","Partially based on true stories, 'Six Strands' is a character study inspired by the world famous Darjeeling tea industry and its undisclosed secrets."
Ghumto,Drama,"A romantic drama that revolves around intertwined love triangles, complex relationships, and emotional struggles, following the lives of its central characters played by  Dilip Rayamajhi, Jal Shah, Ramesh Upreti, and Melina Manandhar."
Anjila,Drama,"The movie ""Anjila"" is based on the real-life story of Anjila Tumbapo Subba, the captain and number one goalkeeper of Nepal's national women's football team. The film showcases her journey from being confined within her home to becoming the team captain, highlighting her struggles and determination .Anjila herself plays the lead role, with Dayahang Rai and Srijana Subba portraying her parents The movie emphasizes the importance of perseverance and the belief that with determination, nothing is impossible."
Baa: Ek Yoddha,"Drama, Family",Plot to be announced.
2.0 Chhadke,"Action, Comedy, Crime","Family of Mendog is killed by Gangsters of Manang while collecting Yarsagumba, but he lives to plot his vengence."
Kumari,Romance,"A tender romantic drama about two young hearts brought together by fate. Kumari explores love, emotions, and the courage to choose the heart despite life’s challenges. A soulful Valentine-season love story."
Savitri,,"A typist, dissatisfied with her marriage, dreams of office romance."
A Mero Hajur,"Drama, Romance",Shraddha is deceived by her relatives for her wealth and is left with the one person she loathes most in the world.
Darpan Chhaya,"Drama, Romance",Two friends involve with same girl which eventually deteriorating their friendship.
Kushti,"Romance, Comedy","A touching comedy-drama about a wrestling-loving couple torn by clashing personalities. They can't live together, yet can't stay apart. This story is a humorous, emotional journey of love, struggle, and deep connection."
Parbati,Drama,"Autism is not a weakness or a flaw, it is simply a different way of experiencing the world. Every person learns, thinks, feels, communicates, and understands life in their own unique way. This story follows the emotional journey of a brother and sister whose deep bond becomes the heart of the film. Amid society’s misunderstandings and everyday struggles, their relationship reflects love, acceptance, sacrifice, and the strength of family, creating a touching and inspiring tale about embracing individuality."
First Love,"Romance, Drama","Five friends in their college life- trying to navigate through their first love unaware of problems, and conflict they have to share, and compromise they will make."
Saathi,"Drama, Family","A child is separated from his family by evil relatives who want to invade their property. The child is taken care of by a maid, and later, when he grows up, she reveals his backstory to him. As a result, he reunites with his family."
White Sun,Drama,"Young Pooja lives with her mother in a village in Nepal. Though saddened by the death of her grandfather, she is secretly thrilled at the prospect of meeting the man she hopes may be her father — Chandra, a former Maoist guerrilla who is returning home after a decade-long civil conflict."
Rangi,"Drama, Family","Pawan, a father, gets a chance to regain his old life after discovering the unconditional love of his six-year-old daughter, Kavya. Motivated by her love, Pawan embarks on a journey of honesty and hard work, leaving his past life behind. Along the way, he faces many difficulties, but these struggles inspire Kavya to help her father overcome his hardships. Together, Pawan and Kavya begin their own paths toward success, proving the power of love, determination, and family."
Soltini,"Romance, Drama, Family",Chaos arises and Delasha realises about her longingness by his Solti when she asks him- Bhimsen to help her elder sister elope with his childhood friend.
Batulo Jun,"Drama, Romance",Plot to be announced.
Gangster Blues,"Action, Drama, Romance, Thriller",In this corrupted world Youth have a lot of reasons to turn into criminals but when you have someone special you love there will be much more consequences that needs to be faced.Story revolves around two protagonists.
Sambodhan,"Action, Drama","A determined investigative journalist is on a thrilling quest to uncover the truth behind a mysterious murder, reflecting the complex, gritty realities of Nepali society."
Kabaddi 4: The Final Match,"Comedy, Drama","After the events of Kabaddi 3, Kaji no longer seeks love as he suffers from the pain of his previous relationships."
Dakshina,"Drama, Family",A story about the life of a teacher who always preaches his students to be a good person in life.
Muna Madan,Drama,"An epic tragedy, based on Nepal's most famous epic poem. Madan, a lower-class worker, is forced by poverty and mounting debts to go to Lhasa, Tibet, leaving behind his lonely mother and beloved wife, Muna. However, tragedy befalls him on the way home."
Mask of Desire,"Drama, Horror","Dipak and Saraswati live a simple life in Kathmandu. A devoted father and an adoring husband, Dipak works as a security guard, while Saraswati happily tends to traditional housework. Their home is modest, and their two girls are happy. Life would be perfect for the pregnant mother if only she could give her husband a son. Desperate in her desire, on the advice of a stranger, Saraswati prays to a new spirit with miraculous results. When the blessing turns to tragedy, the distraught couple appeals to Gita, a jhangrini or healer, revered as a powerful spirit medium. Gita's own crisis of faith and, perhaps, her stunning beauty, forces all three to a dizzying climax, leaving the lines between secular and spiritual desires eerily blurred."
Resham Filili,Drama,"Two friends, both weathered by bad luck, must finally beat the odds to save their lives."
Pujar Sarki,Drama,"Three individuals unite against societal norms perpetuating caste discrimination, facing challenges in their collective struggle to defy the existing caste-based social order."
Nai Nabhannu La 3,"Romance, Drama","A heartfelt and emotional romantic drama that revolves around a young, precocious child who acts as a cupid, cleverly manipulating and bridging the gap between estranged adults in order to mend broken relationships and orchestrate the ultimate union of his loved ones."
Crawling Crows: Aankha,Drama,A newlywed couples struggle with poverty and hardship in Kathmandu's slum.
Julebi,Romance,"Julebi is a Nepali film directed by Ganeshdev Pandey that intertwines three distinct stories centered around the complexities of sexual psychology and modern relationships. Set in Ratnapark, the film explores the desires and passions of seven interconnected characters, with a particular focus on the experiences of Nepali women. The narrative delves into the lives of a sex worker, portrayed by Suraksha Pant, and other characters navigating strained relationships and unspoken love. 𝐉𝐮𝐥𝐞𝐛𝐢 explores love born of choice and necessity. A tale of hearts entangled in the complexities of life, where love knows no one path.  The story of the movie revolves around the relationships of seven characters, interconnected and revolving like a 𝘑𝘶𝘭𝘦𝘣𝘪 (Nepali Sweet)."
Chandra,Drama,"With his elderly grandfather, seven year old Chandra walks through earthquake-hit Kathmandu to visit his mother and newborn sibling in hospital."
Devi,"Crime, Thriller, Action","An upright journalist sets out on an arduous journey to combat against the treacherous system amid increasing rape cases across the nation. Revelations then on leave her in limbo. Amid all this, brutal murders of suspects creates a storm. Will the truth unfold?"
Hijo Aja Ka Kura,"Comedy, Drama","Three young people decide on choosing to emigrate for better lives, but their families say otherwise."
December Falls,"Drama, Romance","A suspense story of a nurse, who struggles for case and love."
Jalaaki,Drama,Plot to be announced.
Bir Bikram 2,Drama,"Bir-Bikram 2 is a 2019 Nepali Romantic love story movie starring Paul shah, Barsha Shiwakoti, Najir Hussein and Buddi Tamang in key roles and is the second installment/franchise of smashing hit movie Bir-Bikram (2016). This tale is about the journey of their friendship, love and roller coster life."
Jaari,"Romance, Drama, Family","The central characters of Jaari are Namsang and Hangma, a married Limbu couple. After a brief argument with her spouse Namsang, Hangma chooses to leave him by giving back his Yuparung (a sacred coin). She then marries a different man after falling in love with him. The jaari is claimed by Namsang and his family, but Hangma’s family refuses to pay, forcing Hangma into slavery in Namsang’s household until the jaari is paid."
Mero Love Story,,"Two strangers Aavas and Nisha met in the bus trip  from Kathmandu to Pokhara. Both of them share their opinion regarding life and characters. As they arrived their destination, both of them apart from each other promising not to meet next time. But both meet at Nisha’s home where Aavas is helping his best friend Vinay to plan a wedding to be with Nisha. Then both of them get separated again. But after few years both met each other and face the situation where both realizes their love."
Ghampani,"Drama, Romance","Two people from different caste start to fall in love but after their parents not allowing them to stay together, they run away."
Cha Cha Hui,"Comedy, Drama",Two friends find themselves caught in a dangerous pursuit when ruthless goons begin chasing a mysterious book with hidden secrets.
Bhaire,Drama,"Two friends set out on a journey to find their long-lost childhood friend on behalf of his 84-year-old dying father. Along the journey, everyone goes through innumerable highs and lows defining love, struggle, care, conflict, and hope."
Ko Afno,"Drama, Thriller","This is a deeply involving drama depicting the desperation between a poor rural couple and a childless upper class urban couple, whose lives are forever altered when the rich couple buys the ingenuous poor couple's 3-year old son, on the promise of a better life. Son grows up emotionally disturbed and resorts to extreme measures to feel less alone."
Gaatho,,A reclusive painter struggles with bipolar disorder and social phobia as he navigates complex emotional boundaries and inner turmoil.
Kohinoor,"Drama, Romance, Action",A determined man finds himself entangled in the criminal underworld while fighting for love and justice.
Agastya – Chapter 1,"Action, Mystery, Thriller","Saurya is haunted by a difficult past and grapples with his troubled mind. After a year, his brother embarks on a quest to find him. A touching story unfolds as Nisan delves into Saurya's history."
Kabaddi,"Comedy, Drama","Aimless Kaji dreams of marrying village girl Maiya by any means. However, she wants to go to the city seeking higher education. Their lives are thrown into turmoil with the arrival of Bibek, a charming young man from the city."
Gharjwai,"Family, Drama","""Gharjwai"" revolves around the intertwined lives of three main characters: a seasoned farmer, a spirited young woman, and a mysterious stranger. As secrets unravel and emotions collide, the film explores themes of love, sacrifice, and redemption. Amidst breathtaking landscapes and cultural traditions, the characters grapple with their pasts, forging unexpected connections that will forever change their destinies."
Aama,Drama,About the story of a family facing a medical emergency and the bureaucratic apathy of the medical institution.
Naakaa,"Action, Crime, Drama","Goldie, a small time smuggler of Barhabise who is in need of a profiting consignment to recover from his current bankruptcy. He gets an emergency call from a local smuggler and businessman of the area to rescue a Tibetan girl and her transporter illegally from one of the sub-border point to Barhabise."
The Break Up,"Comedy, Drama, Romance",Love story between Aaviskhar and Sara and how their friends-with-benefits relationship ends up in them falling in love with each other.
Ghanchakkar,"Comedy, Drama",Ghanchakkar is a Nepali movie about two young people trying to earn the wrong way.
Shree Bukuro : The Home Calling,"Drama, Family","A heartfelt family drama about returning to ancestral village and rediscovering the meaning of home through reconnection with family and the mountains, the story shows how embracing one’s roots can heal relationships and bring true clarity in life."
Mummy,Horror,"After the tragic loss of their beloved family dog, a daughter adopts a mysterious black cat, unwittingly inviting dark forces that threaten to tear her family apart."
Kumbh,"Action, Crime",The high-stakes Nepali action-thriller that follows a gritty protagonist named Raghu as he asserts his dominance and confronts enemies in a world defined by conflict and power struggles
Shambhala,Drama,"In a Himalayan polyandrous village in Nepal, newly married and pregnant Pema tries to make the best of her new life. But soon, her first husband Tashi vanishes on the trade route to Lhasa.  Accompanied by her monk de facto husband, Karma, she embarks on a journey into the unforgiving wilderness to find him, evolving into a quest of self discovery and liberation."
Desan,Drama,"Desan is a Nepali feature film based on the story of a social epidemic, it portrays family love, trust, betrayal and revenge."
Harry Ki Pyari,Romance,"Harry and his 'Pyaari' Jenny, are chasing similar goals in life, but the extent to which they both go about to achieve this is unimaginable."
Jerryy,Romance,"Jerryy is the story about a cool, handsome and rich guy, Jaiveer Rana or Jerryy, who believes “Love is like a Chinese mobile with no guarantee” and his trip to Mustang where he truly falls in love with a beautiful girl, Aakansha and everything after is romance and heartbreaks."
Nametine Ghau,"Action, Drama","The film “Nametine Ghau” is based on the stories of acid attack victims. It sheds light on the struggles, resilience, and courage of 33 young girls who survived such horrific attacks. The movie portrays their journey from trauma to empowerment, highlighting their fight for justice and societal acceptance."
Crossing Borders,Drama,Three lives get entangled in Catch 22 situations as they illegally enter into a country to smuggle goods for their livelihood.
Saili,"Drama, Romance",The movie is based on the true story of the Nepali worker in the middle east who are compelled to be away from their families.
Dokh,Drama,"After a few no-gooders from Salley village beat up a boy from a neighbouring village, a long-running feud over a contested forest flares up. With the insurgency at its peak, the rebel commander suggests this dispute be settled through a game of football. In the midst of all this tension a new teacher is appointed to the village school. Will this versatile stranger provide a solution or cause even more trouble?"
Bhuthan: The World’s Happiest Man,Drama,"Bhutan: The World’s Happiest Man tells the story of Mr. Bishnu, an aging Bhutanese-American in Ohio, who dreams of returning to his homeland. After his unexpected death, his family faces a conflict over his final resting place, torn between past memories and present realities. This emotional drama explores themes of love, loss, and the search for belonging."
Devwani,Action,A private college owner seeks revenge on a student after the student refuses to study at his college.
Mitini,"Romance, Drama, Action",Best friends' journey from childhood to marriage.
Mansarra,Drama,"Mansarra is a specific species of rice. According to legend, it doesn't sprout alone; its seeds are typically mixed with other rice species before planting. A couple’s marriage is tested by fertility issues and by the husband’s growing bond with a single mother and her son."
Krishna Leela,"Drama, Romance, Crime",Krishna Leela is about difficulties faced by two souls while creating magic in love.
TAI CHUP MAI CHUP,Comedy,"""Tai Chup, Mai Chup” is more than just a stand-up special – it’s Apoorwa taking one of the toughest chapters of his life and flipping it into comedy. From the viral clip that shook the internet, to facing backlash from the Newar community, to spending nights in custody and paying fines, he walks us through it all. The pain, the silence, the lessons – retold with humor only he can bring."
Jerry On Top,"Drama, Romance","Jerry, the only son of famous business tycoon, Vijay; is never truly acknowledged and trusted prejudicing him far lack of matureness— is engaged to Shreya.  However, one day he comes up with an idea of summitting the Everest, unaware of the problems coming to his family and his love-life."
Hostel 3,Drama,"The film follows the lives of teenagers living in a hostel, capturing their fun, struggles, and personal growth. The story revolves around a group of students navigating their way through school life, friendships, and challenges."
Jai Ho,"Drama, Comedy","A compelling & emotional story about Sajina's journey of self-discovery and finding love & care with Jay. The conflict with her past and the rivalry between Jay & her ex-boyfriend, Ashok, adds tension to the plot. It will be interesting to see how Sajina navigates her choices and decides between her past life and her new friends. The story seems to explore themes of love, friendship & personal growth."
Jwai Saab,"Drama, Comedy","Disheartened by his home life, Gobardhan's fate takes a turn when he hears an advertisement on the radio offering the chance to become a live-in son-in-law. After winning several competitions with great effort, Gobardhan finally succeeds in becoming a live-in son-in-law. However, his life changes when his relationship with his wife takes a new turn."
216777,"Comedy, Horror","Madan Krishna Shrestha buys and wins a house in a lottery which he purchased from the one rupee coin that Hari Bansha Acharya dropped, just to find out later that the house is haunted. The epic episode most Nepalese remember for the haunting cover of ""Ghas Kaatne Khurkera"" by Hari Bansha Acharya."
Rose,Crime,"The plot follows the story of an airline pilot, Avi, and his deeply tangled romantic life with Rose, a beauty queen. When a mysterious murder and dark truths come to light, the film turns into a violent and unpredictable psychological thriller, where Avi's lawyer desperately navigates the justice system to uncover who is truly guilty."
Prem Geet 2,"Drama, Romance","Prem Geet 2, tells the story of Prem and Geet, its two protagonists, and their journey from Burma to Martha, a rural village in Mugu, Nepal."
Acharya,"History, Music","The inspiring, yet tragic life story of legendary Nepali singer Bhakta Raj Acharya."
Mirmire,,"In a remote Himalayan village, Nima's father tells everyone her mother works abroad, a daily lie to shield his daughter from a painful truth buried in village gossip. As whispers intensify, he fights to preserve Nima's smile."
Thamel Dot Com,Drama,One cool guy's life.
Intu Mintu Londonma,Romance,"Intu Mintu London-Ma is a romantic drama about two modern day Nepali individuals struggling to walk the fine line between tradition and modernity. Ishan (Intu) is a young Nepali guy raised and brought up in the UK who is very passionate about anything he pursues in life. Meera (Mintu) is a daughter of nepali ambassador to the UK, who is pursuing her nursing career. Through their common friends Newson, they meet by chance and unintentionally fall for each other. Everything is going fine when suddenly things fall apart and the fate of their relationship rests on difficult choice that needs to be made by Meera. Will she be able to go against all norms for the sake of their happiness or will she be obliged to fulfill her parents wishes."
Hostel,"Comedy, Drama","A group of teenagers navigates the intense and emotional realities of college life, exploring a web of romance, betrayal, and friendship as the students deal with academic pressure, family expectations, and the bittersweet struggles of growing up."
Goodbye Kathmandu,Drama,"A repatriate Computer Engineer, an aspiring musician, and a school student in love— all torn by conflict between the Maoist opposition party and the Nepal King's government."
My Mother,Drama,"After his mother's death Prem thinks his step mother was responsible for her death, and makes attempts to kill her."
BOB,Thriller,A psychiatrist is trying to help a young schizophrenic patient win over his imagination with some rather unconventional methods.
Biteka Pal,Romance,The emotional clashes and complexities of a love triangle between the three lead characters.
Chino,"Action, Romance, Drama",An unfortunate event separates two young brothers and are later united by the fate to resolve the burdening suffer their mother had been carrying for very long.
Khusma,"Drama, Family, Romance","Set in the backdrop and the aftermath of Maoist Insurgency— Khusma endures separation from her husband and awaits his return, only to resign herself to her fate."
Numafung,Drama,"The film highlights the changing lives and ways of the Limbu people, an ethnic minority residing in rural eastern Nepal. It is a story of a young Limbu girl's struggle with cultural traditions, the impact of local medical practices on her life, and the effect of her actions on her community. The struggles of Numa, the young girl, represent the lives of many other young Nepali women, torn between fulfilling her desires and cultural traditions."
Dayarani,"Drama, Comedy",A couple's marriage begins to break down when they struggle to conceive.
Aadhi Bato,Romance,"Aadhi Bato is an emotional, triangular love story that follows the intersecting lives of its main characters. The narrative centers on a young man and woman who cross paths and fall deeply in love, only for their relationship to be complicated by the unexpected arrival of another man. The story explores themes of sacrifice, emotional heartbreak, and the difficult choices people make in life and love."
Rammita Koo Pirati,"Drama, Romance","Rammita emerges from a toxic five-year relationship with Sahaj , a relationship she once believed was her entire world. Heartbroken and more lost than ever, she convinces herself that rebounds will help her regain her strength and happiness. However, as she moves from one fleeting connection to another, her sense of self slowly begins to fade. She drifts away from her friendships, loses touch with her identity, and feels increasingly disconnected from who she truly is."
Parastree,Thriller,Dark thriller story occurring after an extramarital affair.
Antim Sanskar: The Last Ritual,"Action, Mystery, Crime, Thriller",A gifted but troubled detective investigates the disappearance of a celebrated filmmaker.
Talakjung vs Tulke,Drama,"Tulke – a simpleton day-laborer in a Nepalese mountain village –struggles to reclaim his lost aristocratic identity while a violent revolution disrupts every aspect of village life. Humiliated everyday by everybody around him, Tulké desperately seeks recognition and respect. Instead, he is falsely accused by the woman he loves and forced to flee from his ancestral village. When the city corrupts him and teaches him how the treacherous accumulate and wield power, he returns to his village to avenge himself against people who have wronged him and his family. He becomes a lackey to the revolutionaries in the village, and because he refuses to wrong those he loves, finds himself ensnared in a web of deception and violence, leading to a tragic conclusion for everybody."
Kathaa,"Romance, Drama","Kaancha heads off to the high mountain pastures with his friend Sonam to rear yaks and earn some money before he can marry Kumari. But when he returns, things have drastically changed. The story of Kaancha & Kumari."
Jackie I Am 21,Drama,"After being disqualified twice from being selected for the army, Jackie a young dancer sets out to pursue his dream against his father's will before time runs out."
Khorlo,Drama,"A woman traverses a harsh, snow-covered desert in heavy boots, pulling a suitcase. On her journey, she meets a man who woos her and promises to love her forever. Right after she trusts him, she is left heartbroken by his sudden absence. She continues her journey. Next, she meets a soldier, who tells her to wipe off her tears and then teaches to use the sword to kill off anything that looks likes love. She is filled with anger now and continues on her journey. She meets a monk, who reminds her of what a soft delicate flower-like she was before ‘life’ happened to her. Will she use the sword to fight off? For the monk looks a lot like love."
Parva,"Horror, Drama","A character continuously carries out attacks for his self satisfaction, after an incident occurred at a festival."
Papi Manchhe,Drama,The story of a family that is shattered by a sinful politician.
The Blue Light,"Thriller, Crime","A lonely woman whose life unravels into mystery, deceit, and revenge as she finds comfort in a mysterious blue light."
Kasari Bhanu Ma,"Romance, Drama","Raajan, a carefree dreamer from Kathmandu, spends his days lost in fantasies, dodging work and chasing one grand ambition: to open a lavish resort with a windfall of money he hopes will magically appear. His childhood friend Divya, who lives in his neighbourhood, understands his quirks and secretly loves him, but Raajan remains oblivious to her feelings, taking her presence for granted. Everything changes when Sara, a charismatic foreign tourist, arrives in Kathmandu. Raajan is instantly smitten, falling head over heels for her charm. While showing Sara the beauty of Nepal, he becomes convinced she holds the key to turning his resort dream into reality, blending his infatuation with opportunism. Meanwhile, Divya, heartbroken by Raajan's obsession with Sara, decides to move on and agrees to marry another man, sparking a poignant love triangle."
I am Happy,Drama,"Vashna lives to make others happy; their happiness is hers. Aakash is an aimless wanderer, with no ambition other than to live happily in the moment. When the two disparate souls meet, both are forced to rethink the meaning of happiness."
Woda Number 6,Comedy,Five friends mistakenly get involved in a Maoist revolution.
Shree 5 Ambare,"Crime, Drama",Ambar and Kali meet and fell in love in their childhood on street. Ambar is left along in the street when Kali is taken away by a guy. She became a prostitute and lived a comfortable life while Ambar nourished his desire to become a king in the society.
Je Bho Ramrai Bho,"Romance, Drama","Nabin is falsely accused for a murder and is separated with his lover furthermore the harsh realities of Nepal’s political instability, economic limitations, and social challenges backs him down in every possible way."
Mango Pickle,"Crime, Drama, Thriller","Set in the aftermath of Nepal's civil war, a shy middle class teen is manipulated by his friends to visit a brothel, unleashing a chain of events which will change him forever."
Jaar,Drama,"In Nepalese society, ""Jaar"" refers to a man who has an illicit affair with another man's wife. During the reign of Jung Bahadur Rana (1846–1877), he proclaimed that the husband had the right to behead the guilty Jaar. Rudraman and Thuli as outcasts, face a perilous journey, cut off from the security of family and tradition."
Love Love Love,Romance,Man hopes to get a girlfriend which he loves but he ends up in friend zone.
Kismat 2,Romance,"Kismat 2 is a Nepali action-drama film, produced by Chhabiraj Ojha and directed by Rishi Lamichhane. It is a sequel of 2004 Nepali movie Kismat. The film stars Prithivi Prasai, Kishore Khatiwada and Shilpa Pokhrel."
Damaru Ko Dandibiyo,"Drama, Romance","Film is about game dandi biyo, popular in Nepal."
Hijo Aaja Bholi,,"""Hijo Aajha Bholi"" narrates the tale of events occurring yesterday, today, and tomorrow."
Naami: The Crisis Queen,Drama,"A short film that explores the harsh realities of youth moving away from their villages with dreams of a better future, only to become entangled in criminal activities and drug addiction."
Chhakka Panja 2,"Comedy, Drama","Although they are virtual strangers, a man and a woman consider entering into a fake marriage to achieve their individual aspirations."
Abhimanyu: Chapter 1,Thriller,"The gripping social thriller that exposes the brutal reality of dowry culture through a suspenseful narrative filled with twists, emotions, and a race for justice"
A Road to the Village,Drama,"Maila, a basket weaver, his wife Maile, and seven-year-old son Bindray live a simple village life in the mountainous region of eastern Nepal. When a road to their village is finally built, they see it as a blessing. Soon, along with the first bus, soda, television, and hip hop beats arrive. But as modern amenities creep in, Maila's life begins to unravel. He's trapped between sticking to tradition at home or going beyond the village to survive.Meanwhile Bindray uses his resourcefulness to get closer to the gifts the the new road brings. Ultimately Maila and Maile must figure out how to continue in a world that is leaving them behind."
Appa,,Appa is a film based on a father son relationship told in the most simplest of manner. It delves into the world of Birkhey (Dayahang Rai) and Sid (Siddhant Raj Tamang) as they explore their relationship. It further deepens into a teenage romance with Kavya (Allona Kabo Lepcha).
Chapali Height,Crime,"The story of a girl living in a hostel in Pokhara, and two guys who fall in love with her."
Cha Ekan Cha,Comedy,"A wealthy bachelorette attempts to choose a husband, only to be utterly disgusted when she realizes that her six suitors are all deceptive liars."
The Mirage,Drama,"During the period of civil war, in the countryside of Nepal, a curious  boy follows his mother to his uncle's house. In this poetic journey, he  witnesses various group of people trying to pursue liberation in their  own ways."
Bandaids,Drama,"The young son of a street vendor is put to work at a factory after city police confiscate his father’s cart. As people around him grow increasingly harsh, he learns that it is easier to take than to ask."
Lakhey,Fantasy,"When a cursed beggar summons the demon Lakhey, reckless gambler Ram must outrun fate itself, gambling his soul for one last chance to deliver his daughter’s birthday cake."
Prem Pinda,"Drama, History, Romance","Set against the backdrop of a cruel Rana’s regime, a headstrong village-girl-turned-palace-maid risks everything for a forbidden love, ultimately choosing a tragic death alongside her lover over a life of captive torment."
Aama,Drama,"The story revolved around a typical household of a Nepalese village where a desperate young boy flees home to earn money and to alleviate agony of his poor widow mother. He served in a foreign army for a couple a years, returns home as a grown-up, energetic young man but only to find that his mother has died. The elders of the village persuade him to stay behind in the village and serve the community, reiterating the saying that “service to the motherland is equally virtuous as service to a mother."
Invitation,"Drama, Family","10-year-old Tashi and his ageing grandma live as tenants to a wealthy family, in a remote mountain village in Darjeeling. Their job is to look after the family’s cardamom orchard and guard it at night from wild animals. An approaching wedding at their patron’s house excites Tashi. But will they invite him?"
Boksi Ko Ghar,"Horror, Drama","A witch, cloaked in the guise of a villager, navigates life amongst unsuspecting humans."
Kusume Rumal,Drama,"The blossoming college romance between Amar and Suniti, is complicated by the unrequited affections of Arjun, a working-class boy employed at her home, and a forced marriage plot by another rival."
Bhaimara,Drama,Bhaimara is a Nepali drama film released in 2007.
Basenji,"Drama, Horror, Thriller","After his father is fired for writing a report on Nepal's agricultural industry, a young man has his life spiral into a nightmare as a series of mysterious and disturbing events plunges him deep into the horrifying secrets of his past."
Bato: Road to Death,"Mystery, Thriller","Paramedic Komal is on a mission to deliver a live heart case for transplant. Tony drives taxis, his latest passenger is filmmaker Manjil, on his way to Dharan after hearing a tragic news about his mother. Their journey takes a dark turn when they encounter a vigilant cult with intentions to consume the hearts of young women in order to be awakened."
Gunyo Cholo: A Girl Coming of Age Story,Drama,"Gulabi is a transwoman groomed by her patriarchal father to join the military. When her father disowns her, Gulabi ends up living a life of prostitution in Kathmandu."
Goodbye Sisters,Documentary,"The journey begins in vibrant, spiritual yet harsh Kathmandu and continues towards the majestic Himalayas. Twenty-one-year-old Jamuna accompanies her younger sister on what could be their last trip to the mountains."
Tara: The Lost Star,Drama,"A young girl named Tara finds herself torn between her deeply ingrained belief system and her own aspirations. As she embarks on a journey to break free from the suffocating constraints of tradition, she discovers the courage to challenge the reality imposed upon her."
Saanghuro,,A portrayal of the everyday struggles faced by a newly married couple in a slum in urban Nepal.
Kamana,Drama,"Kamana goes back to her parents' house because her dowry isn’t paid. The film shows how the dowry system treats women as objects and makes them feel lost. Kamana wants to be free, but societal pressure keeps her from finding her true self."
Man Ko Bandh,Drama,"Mann Ko Bandh is a social realist drama that focuses heavily on rural development, civic duties, and nation-building. Set against the backdrop of rural Nepal during the Panchayat regime, the storyline follows community dynamics and personal struggles at the village level."
London To Paris,"Romance, Drama","AB INTERNATIONAL PRESENTS IN ASSOCIATION WITH GAUTAM PRODUCTION & ORCHID VASE FILMS LIMITED  In Cinemas: Jesth 25, JUNE 07  DIGITAL RIGHTS: OSR DIGITAL  PRODUCERS: AARON BASNET, ARIANA BASNET, PARI RANA  CO-PRODUCER: SANIS KHAKUREL, AJIT KR THAPA  EXECUTIVE PRODUCER: ANKIT GAUTAM, SURAJ KUWAR, VIJAY BHANDARI  A FILM BY: GHANASHYAM LAMICHHANE  CAST: SAMRAGYEE RL SHAH, NISCHAL KHADKA, KABIR KHADKA, GARIMA SHARMA, RUSHMA THAPA, MANISH GANDHI, MANISH SHRESTHA, LOK BIKRAM MALLA  WRITER: PRADEEP BHARDWAJ  DISTRIBUTION: RR FILMS  MUSIC: HERCULES BASNET, SD YOGI, BEYOND, SALIN MAGAR  TRAILER: SHAHIL KHAN  The auspicious moment of the movie London to Paris happened on July 8, 2022. The filming has started in Greenwood, London.  The movie was shot in different places of England like London, Tower Bridge, Trafalgar Square, Wembley, Greenwood, Heathrow & polular places around. Before filming, the artist was given a workshop by artist Sarita Giri for a month."
Paral Ko Aago,Drama,"Based on a short story by writer Guru Prasad Mainali of the same name, the story follows the lives of husband and wife, Chame and Gauthali."
Manjari,Music,Musical Video
Maya,Drama,"Maya, Bikram and Kancha suddenly find themselves trapped in the heart of Kathmandu. Vulnerable, penniless and alone, they are forced to live their life on the streets with only hopes and dreams of happiness."
Life Dyamage,"Drama, Comedy, Fantasy","In a world where gender roles are suddenly reversed due to a divine mistake, three individuals navigate relationships, identity, and societal expectations."
Pardeshi,Family,Nepalese youths leave their motherland to foreign land.
Bar & Badhu,,"“Bar & Badhu” is a story of Banish, who lives in Italy and studies hotel management, and Tika, who resides in France and studies fashion design, are brought together by Pandit Gajurel. Pandit, in need of money to fulfill his wife’s wishes, arranges a marriage between their families in Nepal."
Guras,Drama,"The fall in cardamom price in the Mountain village of Darjeeling brings instability to nine- year-old Guras's life. Adding to the chaos, her pet dog 'Tinkle' goes missing. Despite the looming fear of a loose leopard, a faint dog bark from across the valley brings her some hope. She embarks on her journey which soon turns mystical as she meets unworldly beings on her."
Hero No. 1,,"An unremarkable loafer dreams of being a hero. When he becomes embroiled in a goofy gang rivalry, he gets more than he bargained for...."
Agnidahan,Drama,A social drama on the issue of accusing women for practicing witchcraft.
